ID,NAME,all_ids
6714,chiwinnitipanyacharnchai,{6714}
6714,prasitchivinnitipanya,{6714}
6714,prasitcheewinnittipanya,{6714}
6714,weishaokang,"{23652, 23653, 11272, 11273, 6714}"
6714,weisiakang,"{23652, 23653, 11272, 11273, 6714}"
6714,weixuekang,{6714}
6714,cheewinnittipanyaprasit,{6714}
6722,mttltda,{6722}
6823,patinofomequevictorhugo,{6823}
6824,inpescasa,{6824}
6832,echeverriherrerahernando,{6832}
6853,realirishrepublicanarmy,{6853}
6853,32countysovereigntycommittee,{6853}
6853,32countysovereigntymovement,{6853}
6853,realoglaighnaheireann,{6853}
6853,irishrepublicanprisonerswelfareassociation,{6853}
6853,iraarmycouncil,{6853}
6856,afghanshir,{6856}
6856,khanabdullah,"{19970, 33954, 23683, 16517, 6856, 31951, 6864, 10898, 12562, 13396, 30165, 7222, 19991, 28054, 15419}"
6856,azizmohammad,"{11376, 6856}"
6856,afghanshear,{6856}
6857,cardenasgullenosiel,"{6857, 11530}"
6857,cardenascastilloosiel,"{6857, 11530}"
6857,cardenasgillenosiel,"{6857, 11530}"
6857,cardenasguillenociel,"{6857, 11530}"
6857,cardenasguillenoscar,"{6857, 11530}"
6857,cardenasguillenoziel,"{6857, 11530}"
6857,cardenastuillenosiel,"{6857, 11530}"
6857,salinaaguilarjorge,{6857}
6857,salinasaguilarjorge,{6857}
6859,khunsaeng,"{6859, 6709}"
6860,gilboayosef,{6860}
6860,gilboajosephpapzian,{6860}
6860,gilbertjoseph,{6860}
6860,giljosef,{6860}
6861,aregonmax,{6861}
6861,guzmanchapo,{6861}
6861,guierrezloerajoseluis,{6861}
6861,guzmanfernandezjoaquin,{6861}
6861,guzmanloesajoaquin,{6861}
6861,guzmanpadillajoaquin,{6861}
6861,gumanloeraljoaquin,{6861}
6861,guzmanarchibaldo,{6861}
6861,guzmanaureliano,{6861}
6861,ortegamiguel,"{26554, 6861}"
6861,ramirezjoiseluis,{6861}
6861,carorodriguezgilberto,{6861}
6861,guzmanjoaquinchapo,{6861}
6861,guzmanloreachapo,{6861}
6861,guzmanloeiajoaguin,{6861}
6861,guzmanachivaldo,{6861}
6861,osunagilberto,{6861}
6861,ramoxperezjorge,{6861}
6862,hamiahjamiel,"{23633, 6862}"
6862,hameiahjamel,"{23633, 6862}"
6862,hameiahmamil,"{23633, 6862}"
6862,hameihjamill,"{23633, 6862}"
6862,hamiaehjamil,"{23633, 6862}"
6862,hamiejamilabdulkarim,"{15241, 6862}"
6862,hamieahjamiel,"{15241, 6862}"
6862,hameiahjamil,"{23633, 6862}"
6862,hameiehjamil,"{23633, 6862}"
6862,hamerjamil,"{23633, 6862}"
6862,hamiejamil,"{15241, 6862}"
6862,hamiejamile,"{15241, 6862}"
6862,hamieahjamil,"{15241, 6862}"
6862,hamiehjamal,"{15241, 6862}"
6862,hamiehjamil,"{15241, 6862}"
6862,hamieljamil,"{15241, 6862}"
6862,hamieyyehjamil,"{15241, 6862}"
6862,hamiyaabduljamil,"{15241, 6862}"
6862,hamiyyahjamil,"{15241, 6862}"
6862,hamyhjamil,{6862}
6862,karimjamilabdul,{6862}
6862,nezamabu,{6862}
6862,hamiehmamil,"{15241, 6862}"
6862,hamieyejamil,"{15241, 6862}"
6862,hamiljamil,"{15241, 6862}"
6862,hamiyejamil,"{15241, 6862}"
6862,hamiyyehjamil,"{15241, 6862}"
6862,nazimabou,{6862}
6862,nizamabou,{6862}
6864,khanali,"{19970, 33954, 23683, 16517, 6856, 31951, 6864, 10898, 12562, 13396, 30165, 7222, 19991, 28054, 15419}"
6864,khannafirali,{6864}
6864,khannazirali,{6864}
6864,khannisanali,{6864}
6864,khannisarali,{6864}
6864,nasiralikhan,"{6864, 43115}"
6864,nasirkhanali,"{6864, 43115}"
6865,becerramartin,{6865}
6865,becerramirelesmartin,{6865}
6865,macherbeoscar,{6865}
6865,mahlerbeoscar,{6865}
6865,malarbeoscar,{6865}
6865,malerhbedeleonoscar,"{6865, 13165}"
6865,malharbedeleonoscar,"{6865, 13165}"
6865,malherbedeleonoscar,"{6865, 13165}"
6865,malmerbeoscar,{6865}
6865,melarbeoscar,{6865}
6865,qalharbedeleonoscar,{6865}
6865,maherbeoscar,{6865}
6865,mahlerbepolo,{6865}
6865,malerbeoscar,"{6865, 13165}"
6865,malervaoscar,"{6865, 13165}"
6865,nalherbeoscar,{6865}
6865,vargasjorge,"{6865, 40143}"
6866,alcidesmaganaramon,{6866}
6866,alcidezmaganaramon,{6866}
6866,alcidesmayenaramon,{6866}
6866,magnaalcidedesramon,{6866}
